t,payload.p_x,payload.p_y,payload.p_z,payload.q_w,payload.q_x,payload.q_y,payload.q_z,payload.v_x,payload.v_y,payload.v_z,payload.w_x,payload.w_y,payload.w_z,payload.F_x,payload.F_y,payload.F_z,payload.T_x,payload.T_y,payload.T_z,canopy.p_x,canopy.p_y,canopy.p_z,canopy.q_w,canopy.q_x,canopy.q_y,canopy.q_z,canopy.v_x,canopy.v_y,canopy.v_z,canopy.w_x,canopy.w_y,canopy.w_z,canopy.F_x,canopy.F_y,canopy.F_z,canopy.T_x,canopy.T_y,canopy.T_z
0.2900000000000001,0.0,0.0,199.5733950669892,1.0,0.0,0.0,0.0,0.0,0.0,-2.843196045540641,0.0,0.0,0.0,0.0,0.0,-97.89227514422997,0.0,0.0,0.0,0.0,0.0,204.5733950669892,1.0,0.0,0.0,0.0,0.0,0.0,-2.843196045540641,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.3000000000000001,0.0,0.0,199.5439839632733,1.0,0.0,0.0,0.0,0.0,0.0,-2.9411103715919307,0.0,0.0,0.0,0.0,0.0,-97.87719126154752,0.0,0.0,0.0,0.0,0.0,204.5439839632733,1.0,0.0,0.0,0.0,0.0,0.0,-2.9411103715919307,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.3100000000000001,0.0,0.0,199.51359384638417,1.0,0.0,0.0,0.0,0.0,0.0,-3.039011688913489,0.0,0.0,0.0,0.0,0.0,-97.86158078586953,0.0,0.0,0.0,0.0,0.0,204.51359384638417,1.0,0.0,0.0,0.0,0.0,0.0,-3.039011688913489,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.3200000000000001,0.0,0.0,199.4822248507951,1.0,0.0,0.0,0.0,0.0,0.0,-3.136899558908697,0.0,0.0,0.0,0.0,0.0,-97.84544399424998,0.0,0.0,0.0,0.0,0.0,204.4822248507951,1.0,0.0,0.0,0.0,0.0,0.0,-3.136899558908697,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.3300000000000001,0.0,0.0,199.4498771153629,1.0,0.0,0.0,0.0,0.0,0.0,-3.2347735432196543,0.0,0.0,0.0,0.0,0.0,-97.8287811731486,0.0,0.0,0.0,0.0,0.0,204.4498771153629,1.0,0.0,0.0,0.0,0.0,0.0,-3.2347735432196543,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.34000000000000014,0.0,0.0,199.41655078332556,1.0,0.0,0.0,0.0,0.0,0.0,-3.3326332037350044,0.0,0.0,0.0,0.0,0.0,-97.81159261842014,0.0,0.0,0.0,0.0,0.0,204.41655078332556,1.0,0.0,0.0,0.0,0.0,0.0,-3.3326332037350044,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.35000000000000014,0.0,0.0,199.38224600229958,1.0,0.0,0.0,0.0,0.0,0.0,-3.430478102597757,0.0,0.0,0.0,0.0,0.0,-97.79387863530307,0.0,0.0,0.0,0.0,0.0,204.38224600229958,1.0,0.0,0.0,0.0,0.0,0.0,-3.430478102597757,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.36000000000000015,0.0,0.0,199.34696292427745,1.0,0.0,0.0,0.0,0.0,0.0,-3.528307802213097,0.0,0.0,0.0,0.0,0.0,-97.77563953840816,0.0,0.0,0.0,0.0,0.0,204.34696292427745,1.0,0.0,0.0,0.0,0.0,0.0,-3.528307802213097,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.37000000000000016,0.0,0.0,199.3107017056249,1.0,0.0,0.0,0.0,0.0,0.0,-3.6261218652561857,0.0,0.0,0.0,0.0,0.0,-97.75687565170647,0.0,0.0,0.0,0.0,0.0,204.3107017056249,1.0,0.0,0.0,0.0,0.0,0.0,-3.6261218652561857,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.38000000000000017,0.0,0.0,199.2734625070781,1.0,0.0,0.0,0.0,0.0,0.0,-3.72391985467995,0.0,0.0,0.0,0.0,0.0,-97.7375873085172,0.0,0.0,0.0,0.0,0.0,204.2734625070781,1.0,0.0,0.0,0.0,0.0,0.0,-3.72391985467995,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.3900000000000002,0.0,0.0,199.23524549374088,1.0,0.0,0.0,0.0,0.0,0.0,-3.8217013337228627,0.0,0.0,0.0,0.0,0.0,-97.71777485149507,0.0,0.0,0.0,0.0,0.0,204.23524549374088,1.0,0.0,0.0,0.0,0.0,0.0,-3.8217013337228627,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.4000000000000002,0.0,0.0,199.1960508350817,1.0,0.0,0.0,0.0,0.0,0.0,-3.9194658659167105,0.0,0.0,0.0,0.0,0.0,-97.69743863261732,0.0,0.0,0.0,0.0,0.0,204.1960508350817,1.0,0.0,0.0,0.0,0.0,0.0,-3.9194658659167105,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.4100000000000002,0.0,0.0,199.15587870493076,1.0,0.0,0.0,0.0,0.0,0.0,-4.017213015094352,0.0,0.0,0.0,0.0,0.0,-97.67657901317051,0.0,0.0,0.0,0.0,0.0,204.15587870493076,1.0,0.0,0.0,0.0,0.0,0.0,-4.017213015094352,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.4200000000000002,0.0,0.0,199.11472928147677,1.0,0.0,0.0,0.0,0.0,0.0,-4.114942345397466,0.0,0.0,0.0,0.0,0.0,-97.65519636373678,0.0,0.0,0.0,0.0,0.0,204.11472928147677,1.0,0.0,0.0,0.0,0.0,0.0,-4.114942345397466,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.4300000000000002,0.0,0.0,199.07260274726391,1.0,0.0,0.0,0.0,0.0,0.0,-4.2126534212842826,0.0,0.0,0.0,0.0,0.0,-97.6332910641799,0.0,0.0,0.0,0.0,0.0,204.07260274726391,1.0,0.0,0.0,0.0,0.0,0.0,-4.2126534212842826,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.4400000000000002,0.0,0.0,199.02949928918855,1.0,0.0,0.0,0.0,0.0,0.0,-4.310345807537308,0.0,0.0,0.0,0.0,0.0,-97.61086350363092,0.0,0.0,0.0,0.0,0.0,204.02949928918855,1.0,0.0,0.0,0.0,0.0,0.0,-4.310345807537308,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.45000000000000023,0.0,0.0,198.98541909849584,1.0,0.0,0.0,0.0,0.0,0.0,-4.4080190692710355,0.0,0.0,0.0,0.0,0.0,-97.58791408047348,0.0,0.0,0.0,0.0,0.0,203.98541909849584,1.0,0.0,0.0,0.0,0.0,0.0,-4.4080190692710355,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.46000000000000024,0.0,0.0,198.94036237077646,1.0,0.0,0.0,0.0,0.0,0.0,-4.5056727719396426,0.0,0.0,0.0,0.0,0.0,-97.56444320232875,0.0,0.0,0.0,0.0,0.0,203.94036237077646,1.0,0.0,0.0,0.0,0.0,0.0,-4.5056727719396426,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.47000000000000025,0.0,0.0,198.894329305963,1.0,0.0,0.0,0.0,0.0,0.0,-4.603306481344676,0.0,0.0,0.0,0.0,0.0,-97.54045128604007,0.0,0.0,0.0,0.0,0.0,203.894329305963,1.0,0.0,0.0,0.0,0.0,0.0,-4.603306481344676,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.48000000000000026,0.0,0.0,198.84732010832658,1.0,0.0,0.0,0.0,0.0,0.0,-4.700919763642724,0.0,0.0,0.0,0.0,0.0,-97.51593875765721,0.0,0.0,0.0,0.0,0.0,203.84732010832658,1.0,0.0,0.0,0.0,0.0,0.0,-4.700919763642724,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
